id,section_code,section_title,subsection_title,clause_ref,subclause_ref,clause_title,clause_text,clause_type
F42,F,,,F42,,Formwork,"(a) Formwork shall be given in accordance with Clauses F19 to F24 hereof, subject to the",clause
F43,F,,,F43,,Precast prestressed,(a) A general description of the precast prestressed units and of the system and method of,clause
F37,F,,,F37,,,,clause
F37(c),F,,,F37,F37(c),,hereof.,subclause
F44,F,,,F44,,Precast units,"(a) Precast units shall be enumerated stating the number, the size, the length, the height",clause
F45,F,,,F45,,"Cores, wires and","Cores, ducts and recesses shall be given in accordance with Clause F39 hereof. Wires and cables shall",clause
F40,F,,,F40,,reiforcement be given in accordance with Clause,hereof. Reinforcement shall be given in accordance with,clause
F17,F,,,F17,,Clauses,to F19 hereof.,clause
F46,F,,,F46,,Grinding and sand,"Grinding, sand-blasting, bush hammering, brushing to expose aggregate and like treatment to the",clause
F47,F,,,F47,,Cutting grooves,"Cutting grooves, chases, rebates, chamfers and the like shall each be given separately in linear",clause
F23,F,,,F23,,"chases, chamfers and metres stating the size. For such details produced by formwork see Clause",hereof.,clause
F48,F,,,F48,,Holes,"(a) Holes for pipes, tubes, bars, cables, conduits and the like members (grouped together)",clause
F49,F,,,F49,,Mortices,"Mortices, sinkings and the like shall each be enumerated separately stating the purpose. Running",clause
F50,F,,,F50,,Making good,Making good concrete in connection with holes and mortices shall be given in the description of,clause
G1,G,,,G1,,Walling generally,Walling shall consist of blocks or bricks laid in mortar (e.g. solid and hollow concrete blockwork;,clause
G2,G,,,G2,,Particulars of the following,shall be given:-,clause
G3,G,,,G3,,Measurement of,(a) Walling shall be measured the mean length by the average height. No deductions shall be,clause
G13,G,,,G13,,and described. All other labours (except cutting chases as Clause,hereof) shall be,clause
G4,G,,,G4,,Classifications,(a) Walling shall be given in square metres stating the thickness. Classification shall be as,clause
G5,G,,,G5,,Cube walling,Walling in each of the following classes shall be given separately in cubic metres,clause
G6,G,,,G6,,Projections,"Walling in projections, bands, oversailing courses and the like (measured beyond the face of the wall)",clause
G7,G,,,G7,,Thicknessing,Walling of any thickness in each of the following classes shall be given separately in square metres,clause
G8,G,,,G8,,Grooved blocks,Grooved blocks and bricks shall be given in square metres as extra over the walling in which they,clause
G9,G,,,G9,,Flue lining,Refractory brick linings to flues shall be given in square metres stating the thickness. Those bonded to,clause
G10,G,,,G10,,Glass blocks,(a) Glass blockwork in walls and panels shall be given in square metres stating the size and,clause
G11,G,,,G11,,Cavity walls,(a) Forming cavities in hollow walls shall be given in square metres stating the width of the,clause
G12,G,,,G12,,Eaves,Walling in eaves-filling shall be given in linear metres as a labour filling and material item stating the,clause
G13,G,,,G13,,Chases,"Horizontal rough chases in new work for edges of floors, landings and roofs shall be deemed to be",clause
G14,G,,,G14,,Rough arches,Rough arches (measured the mean length on face) shall be given in linear metres as extra over the,clause
G15,G,,,G15,,Bonding ends,Bonding ends of new walling to other types of construction or to existing work shall be given in linear,clause
G16,G,,,G16,,Reinforced walls,Particulars of reinforcement in walls shall be given in the description of the item concerned,clause
G17,G,,,G17,,Seating and flues,(a) Boiler seatings and boiler flues shall be given in detail in accordance with the relevant,clause
G18,G,,,G18,,Chimneys,Chimney-shafts shall be given in detail in accordance with the relevant Clauses hereof under an,clause
G19,G,,,G19,,Facework generally,(a) The rules relating to facework shall apply equally to fair face.,clause
G20,G,,,G20,,Angles and chases,(a) Fair vertical internal angles and fair vertical external angles shall be deemed to be included,clause
G21,G,,,G21,,Tile creasings,"(a) Flush, sunk and projecting tile creasings shall each be given separately in linear metres as",clause
G22,G,,,G22,,Quoins,(a) Facework of flush quoins formed with facing blocks or bricks which differ in kind or size,clause
G23,G,,,G23,,Arches,Facework to arches (measured the mean length on face) shall be given in linear metres stating the,clause
G24,G,,,G24,,Tumblings of,Facework to tumblings of buttresses shall be enumerated stating the size,clause
G25,G,,,G25,,Walling faced or fair,(a) Stone walling faced both sides built with blocks extending the full thickness of the wall,clause
G26,G,,,G26,,Angles,"Purpose-made bricks to form bull-nosed, squint, birdsmouth or moulded angles and the like shall be",clause
G27,G,,,G27,,Band courses,(a) Facework to all sunk and projecting plain bands not exceeding 300 millimetres and flush,clause
G28,G,,,G28,,Bricks on edge or,"(a) Facework, to flush, sunk and projecting brick-on-edge bands, dentilled bands, basket-",clause
G29,G,,,G29,,"Cills, thresholds","(a) Cills, thresholds, copings and steps built of fair-faced brickwork or entirely of facings shall",clause
G30,G,,,G30,,"Key blocks, corbels","Key blocks, corbels, bases to pilasters, and cappings to isolated piers shall be enumerated separately",clause
G31,G,,,G31,,Rubble walling,Rubble work shall consist of natural stones either irregular in shape or roughly dressed and laid dry or,clause
G32,G,,,G32,,Dry rubble work (i.e. work built without mortar),shall be so described.,clause
G33,G,,,G33,,Particulars of the following,shall be given:-,clause
G34,G,,,G34,,Levelled courses,"Levelling uncoursed rubble work for damp-proof courses, band-sills, places, copings and the like",clause
G35,G,,,G35,,Dressed margins,Dressed margins on rubble work shall be given in linear metres stating the width of the margin. Stops,clause
G36,G,,,G36,,Copings,Copings formed of rough stones shall be given in linear metres stating the width and average height of,clause
G37,G,,,G37,,Masonry generally,(a) Masonry shall consist of dressed blocks of natural stone accurately worked to given,clause
G38,G,,,G38,,Measurement,(a) Superficial items of work shall be measured the mean length by the average height as,clause
G46,G,,,G46,,work see Clause,hereof. Work curved on plan shall be so described stating the mean,clause
G39,G,,,G39,,Ends and angles of,"(a) Square ends, square reveals and square external angles of walls shall be given in linear",clause
G40,G,,,G40,,Stone facework,(a) Stone facework bonded to a backing of other material shall be given in square metres,clause
G41,G,,,G41,,Stone slabbing or,For pavings and stone slabbing or cladding to walls see Section S.,clause
G42,G,,,G42,,Rough cutting,"(a) Rough notchings and rough sinkings (grouped together) for steel sections, concrete",clause
G43,G,,,G43,,Fair cutting,(a) Fair raking cutting on superficial items of stonework shall be given in linear metres stating,clause
G44,G,,,G44,,Rustications,Rustications shall be given in the description of the stonework on which they occur,clause
G45,G,,,G45,,"Grooves, rebates","(a) Grooves, throats, rebates, margins, flutes, sinkings, chamfered angles, rounded angles",clause
G46,G,,,G46,,Mouldings,(a) Mouldings on superficial items of stonework shall be given in linear metres stating the,clause
G47,G,,,G47,,Enrichments,Enrichments (e.g. bead-and-reel; egg-and-dart; dentils) shall each be given separately in linear metres,clause
G48,G,,,G48,,Ornaments,"Ornaments (e.g. scrolls, rosettes; crockets) shall each be enumerated separately stating the size. The",clause
G49,G,,,G49,,Small panels,(a) Stones forming small panels (i.e. panels not exceeding 0.10 square metres) shall each be,clause
G50,G,,,G50,,Pilasters,(a) Stones forming pilasters shall be given in linear metres (measured vertically) stating the,clause
G51,G,,,G51,,Quoins and jambs,Stones forming quoins and jambs shall each be given separately in linear metres (measured vertically),clause
G52,G,,,G52,,Columns,(a) Independent columns shall be given in linear metres ( measured vertically) stating the size,clause
G53,G,,,G53,,"Lintels, sills, transoms","(a) Lintels, sills, mullions, and transoms shall each be given separately in mullions & linear",clause
G54,G,,,G54,,"Copings, cornices and","(a) Copings, cornices, band-courses, string-courses, plinth cappings and the like members shall",clause
G55,G,,,G55,,Slab architraves and,(a) Slab architraves and slab surrounds to openings (i.e. slabs not bonded to surrounding,clause
G56,G,,,G56,,Arches,"Springers, voussoirs and keystones of arches shall be enumerated separately stating the size of the",clause
G57,G,,,G57,,Pier -caps and,"Pier-caps, chimney-caps and the like shall each be enumerated separately stating the size. Openings",clause
G58,G,,,G58,,"Finials, brackets and","Finials, terminals, brackets, corbels and the like shall each be enumerated separately stating the size",clause
G59,G,,,G59,,Tracery,Stones forming tracery shall be enumerated stating the size,clause
G60,G,,,G60,,Special features,Special features composed of one or more stones (e.g. ornamental panels; oriel windows; bullseye,clause
G61,G,,,G61,,"Steps, winders and",(a) Steps (except winders) shall be given in linear metres stating the size and the number of,clause
G62,G,,,G62,,"Handrails, cappings","(a) Handrails, cappings and kerbs shall each be given separately in linear metres stating the",clause
G63,G,,,G63,,Balustrade panelS,Balustrade panels and the like shall be enumerated stating the size. Those of irregular shape and,clause
G64,G,,,G64,,Balusters and newels,"Balusters, half-balusters, newels and newel-caps shall each be enumerated separately stating the",clause
G65,G,,,G65,,Cover-stones and,"Cover-stones, corbel-courses and the like shall be given separately in linear metres stating the size.",clause
G66,G,,,G66,,"Templates, bases and","Templates. bases. thresholds, hearths and the like shall each be enumerated separately stating the",clause
G67,G,,,G67,,"Shelves, divisions","(a) Shelves, divisions, table-tops, work-tops, counter-tops, seats, bath-panels and the like",clause
G68,G,,,G68,,Carvings and,(a) Carving and sculpture shall each be enumerated separately stating the character of the,clause
G69,G,,,G69,,Cast stonework,(a) Cast stonework shall consist of blocks of reconstructed or artificial stone accurately cast,clause
G70,G,,,G70,,Work in cast stone,Work in cast stone shall be given in accordance with the rules for masonry in Clauses G37 to G68,clause
G71,G,,,G71,,Clayware Generally,(a) Clayware work shall consist of blocks of fired C1ayware cast to given dimensions and used,clause
G72,G,,,G72,,Work in clayware,Work in clayware shall be given in accordance with the rules for masonry in Clauses G37 to G68,clause
G73,G,,,G73,,Preparing for raising,(a) Preparing tops of old walls to receive new shall be given in linear metres stating the,clause
G74,G,,,G74,,Weather fillets and,Weather-fillets and angle-fillets shall each be given separately in linear metres stating the width.,clause
G75,G,,,G75,,Bedding,"Bedding plates, corrugated sheeting, wood frames and sills and the like and pointing to one or both",clause
G76,G,,,G76,,Wedging and pinner,Wedging and pinning up new work to underside of old construction in cases where the load is to be,clause
G77,G,,,G77,,Cutting grooves,Cutting grooves for water-bars and the like shall be given in linear metres,clause
G78,G,,,G78,,Preparing for,(a) Raking out joint or cutting groove for turned-in edge of flashings shall be given in linear,clause
G79,G,,,G79,,Building in or cutting,"(a) Building in metal windows, metal doors and the like (complete with frames) shall each be",clause
G80,G,,,G80,,Holes,"(a) Holes for pipes, tubes, bars, cables, conduits and the like members (grouped together)",clause
G81,G,,,G81,,Mortices,"(a) Mortices and sinkings for ragbolts, bars, rails, and the like (grouped together) shall each be",clause
G82,G,,,G82,,Making good,"Making good walls in connection with any of the labours mentioned in clauses G79, G80 and G81",clause
G80,G,,,G80,,with any of the labours mentioned in Clauses G79,and G81 hereof shall be given in the,clause
G83,G,,,G83,,"Air-bricks, ventilating","Forming openings in walls and providing and building in air-bricks, ventilating gratings, soot-doors and",clause
G84,G,,,G84,,Flues,(a) Parging and coring flues shall be given in linear metres stating the internal size of the flue,clause
G85,G,,,G85,,Gas flue-blocks,Flue-blocks shall be enumerated stating the type of blocks and the size and number of flues in each,clause
G86,G,,,G86,,Chimney-pots,Chimney-pots shall be enumerated stating the type and the size. Setting and flaunching shall be given,clause
G87,G,,,G87,,Stoves and surrounds,"(a) Stoves, grates, mantels, ranges and similar units shall each be enumerated separately",clause
G88,G,,,G88,,Cramps,"Metal cramps, slate dowels, metal dowels, lead plugs and the like shall each be enumerated",clause
G89,G,,,G89,,Coating backs of,Coating backs of stones or blocks with slurry shall be given in the description of the walling on which,clause
G90,G,,,G90,,Centering generally,(a) Particulars of the following shall be given:-,clause
G91,G,,,G91,,Flat soffits,(a) Centering for flat soffits over 300 millimetres wide and not exceeding 2 metres span shall,clause
G92,G,,,G92,,Curved and vaulted,Centering for curved soffits and vaulted soffits shall each be given separately in square metres.,clause
G93,G,,,G93,,Arches,"Centering for segmental, semicircular, invert and other curved arches shall each be enumerated",clause
G94,G,,,G94,,Labours on centering,"(a) Raking cutting, curved cutting, cutting to groin points, cutting to inter-sections, cutting",clause
G95,G,,,G95,,Supports to projecting,"(a) Supports to projecting masonry (e.g. corbel-courses; cornices, pediments; hoods) shall be",clause
G96,G,,,G96,,Damp-proof courses,Particulars of the following shall be given:-,clause
G97,G,,,G97,,State and sheet,"(a) Sheet damp-proof courses (e.g. bitumen-felt; sheet lead; sheet copper,) over 300",clause
H1,H,,,H1,,Underpinning,(a) Underpinning work shall be given as a Section in the bill,clause
H2,H,,,H2,,Work Generally,Underpinning work shall be given in accordance with the rules in the relevant sections hereof except,clause
H3,H,,,H3,,Excavation,(a) Temporary supports to work to be underpinned shall be given as an item. Particulars of,clause
J1,J,,,J1,,Works generally,"(a) Work shall be grouped as follows and each group with its associated skirtings, angle-fillets",clause
J2,J,,,J2,,Coverings to surfaces,(a) Coverings shall be measured the area in contact with the base and shall include all labours,clause
J3,J,,,J3,,Skirtings fascias and,"Skirtings, fascias and aprons shall each be given separately in linear metres stating the",clause
J4,J,,,J4,,"Gutters, valleys, and","(a) Linings to gutters, linings to valleys and coverings to kerbs shall each be given separately in",clause
J5,J,,,J5,,Channels,(a) Linings to channels shall be given in accordance with the rules for lining to gutters in J4,clause
J6,J,,,J6,,Cesspools and collars,"(a) Linings to cesspools, sumps and the like shall each be enumerated separately stating the",clause
K1,K,,,K1,,Roofing Generally,(a) Work shall be grouped according to the kind of material and each group with its,clause
K2,K,,,K2,,Tile roofing,Particulars of the following shall be given:-,clause
K3,K,,,K3,,Roof coverings,Roof coverings shall be given in square metres. Coverings over 45 degrees from horizontal and,clause
K4,K,,,K4,,Labours on roof,(a) Square cutting around openings shall be given in linear metres. Square cutting against,clause
K5,K,,,K5,,Eaves,Double course at eaves and extra undercourse at eaves shall each be given separately in linear,clause
K6,K,,,K6,,Verges,"Verges shall be given in linear metres. Raking verges, curved verges and verges with purpose-made",clause
K7,K,,,K7,,Valleys,(a) Cutting to valleys (measured to both sides) shall be given in linear metres. Oneand-half-,clause
K8,K,,,K8,,Hips and vertical,(a) Cutting to hips and cutting to vertical angles (measured to both sides) shall each be given,clause
K9,K,,,K9,,Ridges and hip,Ridge-cappings and hip-cappings shall each be given separately in linear metres. Bedding and,clause
K10,K,,,K10,,Special fillings,Tile slips and other fillings shall each be given separately in linear metres. Bedding and pointing,clause
K11,K,,,K11,,Hip-irons,Hip-irons shall be enumerated stating the method of fixing,clause
K12,K,,,K12,,Metal slates and,Metal slates and metal soakers shall each be enumerated separately stating the size,clause
K13,K,,,K13,,Glass tiles,Glass tiles and the like shall be enumerated as extra over the coverings in which they occur,clause
K14,K,,,K14,,Lathing or battening,(a) Lathing or battening shall be given in the description of roofing (see Clause K2 (iv) hereof).,clause
K15,K,,,K15,,Under felting,Underfelting shall be given in square metres stating the extent of the laps and the method of fixing.,clause
K16,K,,,K16,,Corrugated or,Particulars of the following shall be given:-,clause
K17,K,,,K17,,Roof covering,"(a) Roof coverings shall be given in square metres, and shall include all cuttings and waste.",clause
K18,K,,,K18,,Labours on roof,(a) Square cutting around openings shall be given in linear metres except in cases where the,clause
K19,K,,,K19,,Filler pieces,"Filler-pieces at eaves and jambs and openings, filler-pieces above roof glazing and over lintols,",clause
K20,K,,,K20,,Bedding and pointing,"Bedding and pointing at eaves, verges, and the like and bedding and pointing eaves filler pieces shall",clause
K21,K,,,K21,,"Ridge, hip and angle","Ridge-cappings, hip-cappings and vertical angle-cappings shall each be given separately in linear",clause
K22,K,,,K22,,Berge-boards,Barge-boards and corner-pieces shall each be given separately in linear metres stating the width.,clause
K23,K,,,K23,,Flashings and,(a) Flashings and expansion joints shall be given separately in linear metres stating the overall,clause
K24,K,,,K24,,Louvres,Louvre-blades shall be given in linear metres stating the width or girth and the number,clause
K25,K,,,K25,,Roof-lights special,(a) Fixed and opening roof-lights (exclusive of glass) shall each be enumerated and separately,clause
K26,K,,,K26,,Roof Ventilators,Roof ventilators shall be enumerated stating the size and the type of base.,clause
K27,K,,,K27,,Thatch roofing,(a) Particulars of the following shall be given:-,clause
K28,K,,,K28,,Roof coverings,(a) Roof coverings (except to dormers and turrets) shall be given in square metres. over 45,clause
K29,K,,,K29,,Labours on roof,"(a) Cutting and facing to top abutments, side abutments, tile valleys, metal valleys,",clause
K30,K,,,K30,,"Eaves, verges, and","Eaves, verges, hips, valleys, ridges and the like (measured extreme dimensions) where involving",clause
K31,K,,,K31,,Wire netting,(a) Wire netting (measured the area covered) shall be given in square metres stating the,clause
