id,class_code,class_title,division_level,division_text,rule_type,rule_text,order_in_class
T_DEFINITION_3,T,Tunnels,,,definition,M1 Tunnels constructed by cut,3
T_DEFINITION_4,T,Tunnels,,,definition,"D1 Transitions, breakaways and",4
T_DEFINITION_5,T,Tunnels,,,definition,A2 Item descriptions for,5
T_DEFINITION_6,T,Tunnels,,,definition,M2 The volume measu red for,6
T_DEFINITION_7,T,Tunnels,,,definition,"Drawings or, where no payment diameter of the excavation cross- excavated material off the Site tunnels and shafts are straight, •",7
T_DEFINITION_8,T,Tunnels,,,definition,A4 Where material is for,8
T_DEFINITION_9,T,Tunnels,,,definition,M3 An isolated volume of rock disposal on the Site the location,9
T_DEFINITION_10,T,Tunnels,,,definition,M4 The area measured for,10
T_DEFINITION_11,T,Tunnels,,,definition,CLASS T,11
T_DEFINITION_12,T,Tunnels,,,definition,CLASS,12
T_MEASUREMENT_13,T,Tunnels,,,measurement,M5 The th ickness of in situ lining,13
T_MEASUREMENT_14,T,Tunnels,,,measurement,M6 The volume of in situ cast internal diameter. inclination to the vertical of,14
T_MEASUREMENT_15,T,Tunnels,,,measurement,A8 Item descriptions for in situ,15
T_MEASUREMENT_16,T,Tunnels,,,measurement,M7 The measurement unit for lining shall state the specificatior,16
T_MEASUREMENT_17,T,Tunnels,,,measurement,A9 Item descriptions for,17
T_MEASUREMENT_18,T,Tunnels,,,measurement,A10 Item descriptions for,18
T_MEASUREMENT_19,T,Tunnels,,,measurement,A11 Item descriptions for,19
T_MEASUREMENT_20,T,Tunnels,,,measurement,A12 The internal diameter of the,20
T_MEASUREMENT_21,T,Tunnels,,,measurement,A13 Where linings are not of,21
T_MEASUREMENT_22,T,Tunnels,,,measurement,"Concrete work in lining to tunnels, shafts and other cavities which involves other than simple shapes may be classed as concrete (class F) and",22
U_MEASUREMENT_1,U,"Brickwork, blockwork and masonry",,,measurement,CLASS U,1
V_MEASUREMENT_1,V,Painting,,,measurement,CLASS V,1
W_MEASUREMENT_1,W,Waterproofing,,,measurement,"Damp proof courses in brickwork, blockwork and masonry (included in class U)",1
W_MEASUREMENT_2,W,Waterproofing,,,measurement,CLASS,2
X_MEASUREMENT_1,X,Miscellaneous work,,,measurement,Drainage to structures above ground,1
X_MEASUREMENT_2,X,Miscellaneous work,,,measurement,CLASS,2
Y_DIV1_1,Y,Sewer and water main renovation,1,New manholes,,,1
Y_MEASUREMENT_2,Y,Sewer and water main renovation,,,measurement,CLASS',2
Y_MEASUREMENT_3,Y,Sewer and water main renovation,,,measurement,CLASSY,3
Y_MEASUREMENT_4,Y,Sewer and water main renovation,,,measurement,CLASSY,4
Y_MEASUREMENT_5,Y,Sewer and water main renovation,,,measurement,Manholes may be measured in detail as set out in other classes of CESMM3.,5
Y_MEASUREMENT_6,Y,Sewer and water main renovation,,,measurement,CLASS Y,6
Y_MEASUREMENT_7,Y,Sewer and water main renovation,,,measurement,CLASS \,7
Y_MEASUREMENT_8,Y,Sewer and water main renovation,,,measurement,DESCRIPTION RULES,8
Y_MEASUREMENT_9,Y,Sewer and water main renovation,,,measurement,"M7 Interruptions shall, be",9
Z_DIV1_1,Z,Simple building works incidental to civil engineering works,1,Insulation,,,1
Z_DIV1_2,Z,Simple building works incidental to civil engineering works,1,Surface finishes,,,2
Z_MEASUREMENT_3,Z,Simple building works incidental to civil engineering works,,,measurement,Ducted building services,3
Z_MEASUREMENT_4,Z,Simple building works incidental to civil engineering works,,,measurement,Cabled building services,4
Z_MEASUREMENT_5,Z,Simple building works incidental to civil engineering works,,,measurement,CLASS 2,5
Z_MEASUREMENT_6,Z,Simple building works incidental to civil engineering works,,,measurement,Civil engineering timber works (included in class O),6
Z_MEASUREMENT_7,Z,Simple building works incidental to civil engineering works,,,measurement,Asphalt work (included in class W),7
Z_MEASUREMENT_8,Z,Simple building works incidental to civil engineering works,,,measurement,Drainageto structures above ground (included in class X),8
Z_MEASUREMENT_9,Z,Simple building works incidental to civil engineering works,,,measurement,CLASS Z,9
Z_MEASUREMENT_10,Z,Simple building works incidental to civil engineering works,,,measurement,CLASSZ,10
Z_MEASUREMENT_11,Z,Simple building works incidental to civil engineering works,,,measurement,CLASS Z,11
Z_MEASUREMENT_12,Z,Simple building works incidental to civil engineering works,,,measurement,CLASSZ,12
Z_MEASUREMENT_13,Z,Simple building works incidental to civil engineering works,,,measurement,CLASS 2,13
Z_COVERAGE_14,Z,Simple building works incidental to civil engineering works,,,coverage,M8 Lengths measured for cables,14
Z_COVERAGE_15,Z,Simple building works incidental to civil engineering works,,,coverage,D9 Simple low voltage power,15
Z_COVERAGE_16,Z,Simple building works incidental to civil engineering works,,,coverage,"M9 Lengths measured for terminations and connections, stated in item descriptions so that",16
Z_COVERAGE_17,Z,Simple building works incidental to civil engineering works,,,coverage,"A30 The materials, size or",17
Z_COVERAGE_18,Z,Simple building works incidental to civil engineering works,,,coverage,"M10 Lengths measured for C12 Items for cabled building capacity, and method of fixing shall",18
Z_COVERAGE_19,Z,Simple building works incidental to civil engineering works,,,coverage,C13 Items for cabled building specified qualities.,19
Z_COVERAGE_20,Z,Simple building works incidental to civil engineering works,,,coverage,C14 Items for conduits shall be shall be stated in item descriptions,20
