section_code,section_title,subsection_title,clause_ref,subclause_ref,clause_text,clause_type
B,Preliminaries,Temporary works,,,(b) Such temporary works specifically required by the employer shall be given as items stating,note
B,Preliminaries,Temporary works,,,all relevant particulars.,note
B,Preliminaries,Temporary works,,,General scaffolding B17 General scaffolding for the works shall be given as an item,note
B,Preliminaries,Temporary works,,,"Dayworks B18 (a) The cost of labour in dayworks shall be given as sum; alternatively, a schedule of the",note
B,Preliminaries,Temporary works,,,different categories of labour may be given containing a provisional quantity of hours for,note
B,Preliminaries,Temporary works,,,each category.,note
B,Preliminaries,Temporary works,,,"(b) The cost of labour included in a sum or schedule shall include wages, bonuses and any",note
B,Preliminaries,Temporary works,,,allowances paid to operatives directly engaged on dayworks (including those operating,note
B,Preliminaries,Temporary works,,,mechanical plant and transport) in accordance with the appropriate employment,note
B,Preliminaries,Temporary works,,,"agreement or where no such agreement exists, the actual payment made to the work",note
B,Preliminaries,Temporary works,,,people concerned.,note
B,Preliminaries,Temporary works,,,(c) The cost of materials in dayworks shall be given as sum: alternatively a schedule may be,note
B,Preliminaries,Temporary works,,,given containing a provisional quantity of different materials.,note
B,Preliminaries,Temporary works,,,"(d) The cost of materials included in such a sum or schedule shall be the net invoiced price,",note
B,Preliminaries,Temporary works,,,including delivery to site.,note
B,Preliminaries,Temporary works,,,(e) The cost of constructional plant employed exclusively in the dayworks shall be given as a,note
B,Preliminaries,Temporary works,,,"sum: alternatively, a schedule of the different categories of plant may be given containing",note
B,Preliminaries,Temporary works,,,a provisional quantity of hours: or such other period of time as may be appropriate for,note
B,Preliminaries,Temporary works,,,each category.,note
B,Preliminaries,Temporary works,,,"(f) The cost of constructional plant included in such a sum or schedule shall include fuel,",note
B,Preliminaries,Temporary works,,,"consumable stores, repairs, maintenance and insurance of plant.",note
B,Preliminaries,Temporary works,,,7,note
B,Preliminaries,Temporary works,,,"(g) An item shall be given for the addition of establishment charges, overheads and profit to",note
B,Preliminaries,Temporary works,,,"each of the sums of schedules of labour, materials or plant.",note
B,Preliminaries,Temporary works,,,"(h) Establishment charges, overheads and profit shall include:",note
B,Preliminaries,Temporary works,,,i. Costs related to the employment of labour,note
B,Preliminaries,Temporary works,,,ii. Cost related to the costs of materials including handling and waste in storage,note
B,Preliminaries,Temporary works,,,iii. Contractors administrative arrangements,note
B,Preliminaries,Temporary works,,,iv. Constructional plant except plant employed exclusively on dayworks,note
B,Preliminaries,Temporary works,,,v. Contractors facilities,note
B,Preliminaries,Temporary works,,,vi. Temporary woks,note
B,Preliminaries,Temporary works,,,vii. Sundry items,note
B,Preliminaries,Works by public bodies,,,Works by public bodies,subsection
B,Preliminaries,Works by public bodies,,,Works by Public B19 Works which may only be carried out by a local authority or a public undertaking (e.g.,note
B,Preliminaries,Works by public bodies,,,bodies taking up and relaying public roads and footpaths; forming permanent crossings) shall,note
B,Preliminaries,Works by public bodies,,,each be given separately as provisional or prime cost sum as Clause A7 hereof.,note
B,Preliminaries,Works by nominated sub-contractors,,,Works by nominated sub-contractors,subsection
B,Preliminaries,Works by nominated sub-contractors,,,Works by nominated B20 (a) Works which are required to be carried out by a nominated sub-contractor shall be,note
B,Preliminaries,Works by nominated sub-contractors,,,contractors given as a provisional or prime cost sum as Clause A7 hereof.,note
B,Preliminaries,Works by nominated sub-contractors,,,(b) Attendance on nominated sub-contractors shall be given as an item in each case and shall,note
B,Preliminaries,Works by nominated sub-contractors,,,"be deemed to include only allowing use of standing scaffolding, mess rooms, sanitary",note
B,Preliminaries,Works by nominated sub-contractors,,,"accommodation and welfare facilities, providing space for office accommodation and for",note
B,Preliminaries,Works by nominated sub-contractors,,,storage of plant and materials; providing light and water for the work; clearing away,note
B,Preliminaries,Works by nominated sub-contractors,,,rubbish. Special attendance shall be given as an item in each case giving particulars (e.g.,note
B,Preliminaries,Works by nominated sub-contractors,,,unloading; storing; hoisting; placing in position; providing power; providing special,note
B,Preliminaries,Works by nominated sub-contractors,,,scaffolding),note
B,Preliminaries,Works by nominated sub-contractors,,,(c) Builder’s work in connection with works by nominated sub-contractors shall be given in,note
B,Preliminaries,Works by nominated sub-contractors,,,accordance with the appropriate rules in this document. It is desirable for such work to be,note
B,Preliminaries,Works by nominated sub-contractors,,,grouped together under a heading in each appropriate section of the bill.,note
B,Preliminaries,Goods and materials from nominated suppliers,,,Goods and materials from nominated suppliers,subsection
B,Preliminaries,Goods and materials from nominated suppliers,,,Goods from B21 (a) Goods and materials which are required to be obtained from a nominated supplier,note
B,Preliminaries,Goods and materials from nominated suppliers,,,nominated supplies shall be given as a provisional or prime cost sum as Clause A7 hereof.,note
B,Preliminaries,Goods and materials from nominated suppliers,,,(b) Fixing only goods and materials shall be given in accordance with the appropriate rules in,note
B,Preliminaries,Goods and materials from nominated suppliers,,,"this document. Unloading, storing, hoisting the goods and materials and returning packing",note
B,Preliminaries,Goods and materials from nominated suppliers,,,materials to the nominated supplier carriage paid and obtaining credits therefore shall be,note
B,Preliminaries,Goods and materials from nominated suppliers,,,deemed to be included with the items of fixing only. Where the costs of conveying goods,note
B,Preliminaries,Goods and materials from nominated suppliers,,,"and materials to the site, any special packing or the like are required to be paid by the",note
B,Preliminaries,Goods and materials from nominated suppliers,,,"contractor, particulars shall be given",note
B,Preliminaries,Protecting and cleaning the works,,,Protecting and cleaning the works,subsection
B,Preliminaries,Protecting and cleaning the works,,,Protection of the B22 Protection of the works shall be given as an item covering all sections of the works,note
B,Preliminaries,Works by public bodies,,,Works by public bodies,subsection
B,Preliminaries,Works by public bodies,,,Removing rubbish and B23 Removing rubbish and debris and cleaning the works internally and externally shall be given as an,note
B,Preliminaries,Works by public bodies,,,cleaning item.,note
B,Preliminaries,Contingencies,,,Contingencies,subsection
B,Preliminaries,Contingencies,,,Contingencies,subsection
B,Preliminaries,Contingencies,,,8,note
C,Demolitions And Alterations,,,,Demolitions And Alterations,section_header
C,Demolitions And Alterations,General to Section C,,,General to Section C,subsection
C,Demolitions And Alterations,General to Section C,C1,C1(a),The location of demolitions and alterations shall be given in the description of the items.,subclause
C,Demolitions And Alterations,General to Section C,C1,,"For all buildings, demolition works shall be measured in a form of bills of quantities based on the elements involved. (b) Shoring and scaffolding incidental to demolitions and alternations shall be given in the description of the items. Other shoring (e.g., to old buildings left standing) shall be given in accordance with Clause C10 hereof. (c) Materials arising from demolition and alterations shall become the property of the contractor unless otherwise stated. Clearing away such old materials shall be deemed to be included with the items. Provision shall be made in the bill for credits. (d) Materials required to remain the property of the employer shall be so described. Setting aside and storing such old materials on site shall be given in the description of the items. (e) Materials permitted to be re-used in work measured as new shall be so described. No adjustment shall be made to the measured quantities of new work in which such old materials are re-used.",clause
C,Demolitions And Alterations,Demolitions,,,Demolitions,subsection
C,Demolitions And Alterations,Demolitions,,,Demolitions,subsection
C,Demolitions And Alterations,Demolitions,C1,,clearing the site of all structures may be given as an item. The lowest level of the demolition shall be stated (e.g. down to the top of surface concrete at the lowest floor level). (b) Leaving parts of old walls temporarily in position to act as but tresses shall be given in the description of demolition items.,clause
C,Demolitions And Alterations,Alterations,,,Alterations,subsection
C,Demolitions And Alterations,Alterations,,,Alterations,subsection
C,Demolitions And Alterations,Alterations,C1,,"together and given under an appropriate heading. Cutting C4 Cutting openings in old structures shall be given as items stating the openings nominal finished size of the opening, the type and thickness of the old structure and the treatment around the opening (e.g. inserting trimmers, lintels, arches, sills and the like; building up jambs). Extending finishing and making good all work disturbed shall be given in the description. New doors, windows and the like shall be measured in detail in accordance with the appropriate rules Blockings up C5 Blocking up openings in old structures shall be given as items openings stating the size of the opening and the nature and thickness of the new work. Taking out thresholds lintels, arches, sills and the like, bonding or otherwise securing the new work to the old structure, extending finishing on the new work and making good all work disturbed shall be given in the description. Pulling down other C6 Pulling down walls, partitions, floors, roofs, staircases and parts of old structures shall be given as parts items. Where practicable quantities and dimensions shall be given in the description. Taking down fittings C7 Taking down fittings and fixtures (e.g. doors; windows; sanitary appliances; counters; cupboards) and fixtures shall be given as fixtures items stating the size. Those required to be set aside for refixing shall be so described. Refixing fittings an d C8 Repairing, adapting and refixing old fittings and fixtures shall be given as items stating the size. fixtures",clause
C,Demolitions And Alterations,Sundries,,,Sundries,subsection
C,Demolitions And Alterations,Sundries,C1,,"Temporary screens C9 Temporary screens and temporary roofs shall each be given separately in square metres or and temporary roofs enumerated as may be appropriate. Weatherproof and dustproof screens shall be so described. Temporary arrangements for dealing with rainwater, temporary doors, temporary windows and the like in screens shall be given in the description. Clearing away temporary work shall be deemed to be included with the items. Shoring C10 Timber shoring (other than that incidental to demolitions and alterations) shall be given in linear metres, stating the nominal size, the position and type of shoring and the nature of the structure to be shored. Erecting, maintaining, clearing away, making good all work disturbed, obtaining licenses, paying fees and providing all necessary nails, wedges and bolts shall be deemed to be included with the items 9",clause
D,Excavation And Earthwork,,,,Excavation And Earthwork,section_header
D,Excavation And Earthwork,,,,The Unit of Billing shall be the Metre,note
D,Excavation And Earthwork,Generally to Section D,,,Generally to Section D,subsection
D,Excavation And Earthwork,Generally to Section D,D1,D1(a),Any information available concerning the nature of the ground and strata shall be given.,subclause
D,Excavation And Earthwork,Generally to Section D,D1,,Attention shall be drawn to any open trial holes on site (b) Work in existing buildings shall be done as described. Handling materials and getting them in or out of such buildings shall be deemed to be included with the items,clause
D,Excavation And Earthwork,Site preparation,,,Site preparation,subsection
D,Excavation And Earthwork,Site preparation,,,Site preparation,subsection
D,Excavation And Earthwork,Site preparation,D1,,"(b) The removal of termites nests shall be given as an item and the method of destruction of the termites shall be stated. Alternatively, this item may be given in the description of",clause
D,Excavation And Earthwork,Excavations and Earthwork,,,Excavations and Earthwork,subsection
D,Excavation And Earthwork,Excavations and Earthwork,D1,,"Preserving vegetable D3 Excavating vegetable soil which is to be preserved shall be given in square metres soil stating the average depth. Soil deposited on site in permanent spoil heaps or spread on site shall be so described stating the location of such deposits or the average distances from the excavation in linear metres or kilometres. Removing trees and D4 (a) Cutting down trees and grubbing up their roots shall be enumerated. Tree exceeding 600 hedges millimetres girth (measured at a height of 1 metre above ground) shall be grouped together and described as small trees, those over 600 millimetres girth shall be classified and given in further stages of 300 millimetres, giving the type of tree and approximate height. (b) Cutting down hedges and grubbing up their roots shall be given in linear metres stating the nature, type and height (of each hedge or its location (c) Clearing site of bushes, scrub, undergrowth the like and grubbing up their roots shall be given in square metres or hectares. Alternatively, this may be given as an item stating the approximate area. Cutting down trees not exceeding 600 millimetres girth within such areas and grubbing up their roots may be given in the description, but cutting down larger trees shall be dealt with in accordance with paragraph (a) of this clause. (d) Grubbing uproots or stamps shall be enumerated starring girth or stump at top (e) Where trees have already been cut leaving tree stumps which are to be removed from site, grubbing up the tree stumps shall be enumerated stating the girth of the stump at the highest point of the stump.",clause
D,Excavation And Earthwork,Excavation,,,Excavation,subsection
D,Excavation And Earthwork,Excavation,,,Excavation,subsection
D,Excavation And Earthwork,Excavation,D1,,"bulk before excavating and no allowance shall be made for any sub sequent variations in bulk. No allowance shall be made for any extra space required to accommodate planking and strutting. (b) Getting out excavated materials by any means necessary shall be deemed to be included with the items of excavation. Subsequent disposal of excavated material shall be given in accordance with Clause D15 hereof (except as otherwise provided in Clause D11) (c) Excavating in compacted gravel, decomposed rock and hard murram - where these are defined as all materials such as consolidated murram or gravel, decomposed or stratified rock, stones and boulders less than 0.5m3, harder than normal or soft material but which can be excavated by ripping or which is in confined spaces and requires excavation by hand using compressor tools - shall be given in cubic metres as extra over all kinds of",clause
D,Excavation And Earthwork,Excavations and Earthwork,,,Excavations and Earthwork,subsection
D,Excavation And Earthwork,Excavations and Earthwork,D1,,"(d) Excavating in running silt or running sand (grouped together) shall be given in cubic metres as extra over all kinds of excavation irrespective of depth. (e) Excavating in rock shall be given in cubic metres as extra over all kinds of excavation irrespective of depth. Rock is defined as any material met with in excavation which is of such size or position that it can only be removed by means of wedges, compressed air 10 plant, other special plant, or explosives. (f) Where the depths of excavation are required to be stated in accordance with this rule, they shall be grouped and given in successive stages of 1.50 metres (e.g., not exceeding 1.50 metres deep; over 1.50 metres but not exceeding 3 .00 metres deep). (g) All excavations shall be measured net and no allowance shall be made for working space, unless otherwise stated. The quantity of excavation shall be given by the horizontal area of the bottom of the relevant structure(s) multiplied by the average depth from the surface. Surface excavation D6 Excavating surfaces over 300 millimetres deep to reduce levels shall be given in cubic metres. Such work not exceeding 300 millimetres deep shall be given in square metres stating the average depth. Cuttings D7 Excavating cuttings shall be given in cubic metres. Basements D8 Excavating basements and the like shall be given in cubic metres stating the starting level and the depth as Clause D5 (f) hereof. Existing voids shall be deducted. Foundation trenches D9 Excavating trenches to receive foundations shall be given in cubic metres stating the starting level and the depth as Clause D5 (f) hereof. Preliminary trenches for basement retaining walls which are constructed before the basements are excavated shall be so described. No distinction shall be made between surface trenches and basement trenches. For pipe trenches and the like see Clause D11 hereof. Pits D10 Excavating pits to receive bases of stanchions, isolated piers and the like and grouped together shall be given in cubic metres stating the starting level and the depth as Clause D5 (f) hereof. No distinction shall be made between surface pits and basement pits. Pipe trenches and the D11 Excavating trenches to receive service pipes, cables, kerbs and the like shall be given in linear metres like stating the diameter and starting level and the average depth to the nearest 250 millimetres. Filling in, compacting, grading bottoms and disposing of surplus spoil shall be given in the description of such trenches. Breaking up concrete D12 Breaking up concrete, reinforced concrete work and the like met with in excavation shall each be and brickwork given separately in cubic metres as extra over all kinds of excavation irrespective of depth. Breaking up paving D13 Breaking up surface concrete, reinforced surface concrete, paving tar macadam and the like on the and the like surface of the ground shall each be given separately in square metres stating the thickness and the method of disposal. Alternatively, breaking up such hard materials on the surface may each be given in square metres as extra. over excavation. Existing conservancy D14 Clearing out and removing contents of conservancy tanks, septic tanks and the like shall be tanks, septic tanks enumerated stating the volume and method of disposal. and the like Disposal of excavated D15 (a) Multiple-handling of excavated materials and transporting about the site as necessary materials shall be deemed to be included with the items of final disposal. Multiple-handling which is specifically required shall be given in the description of disposal items. (b) Earth fillings shall be measured as equal to the void to be filled. Any thickness stated shall be deemed to be measured after compacting. (c) Earth backfilling shall be given in cubic metres except as otherwise provided in Clause D11 hereof. (d) Earth filling in making up levels over 300 millimetres thick shall be given in cubic metres. Such work not exceeding 300millimetres thick shall be given in square metres stating the average thickness. (e) Earth filling required to be deposited and compacted in layers shall be so described stating the maximum thickness of the layers, and the compaction standard required. (f) Surplus spoil shall be given in cubic metres. Spoil deposited on site in permanent spoil heaps or spread on site shall be so described stating the location of such deposits or the average distance from the excavation in linear metres or kilometres. Spoil removed from the site shall be described and the provision of a chute, dump or tip shall be deemed to be included with the items unless otherwise stated. Surface treatments D16 (a) Treating the surface of the ground or the surface of filling or the bottom of excavation (e.g. .grading to falls, grading to cambers, blinding) shall be given separately in square 11 metres. Alternatively, such treatment may be given in the description of any superficial item of excavation, earth filling, hardcore filling, concrete or paving. Levelling and normal compacting are deemed to be included. (b) Compacting which is required to be carried out by specific means shall be appropriately described. (c) Any special treatment to bottoms of excavation in rock shall be described (d) Trimming sides of cutting and sides of embankments to slope shall each be given separately in square metres stating the angle of slope. (e) Trimming sides of excavations in rock to produce fair faces shall be given in square metres. Soiling seeding D17 Soiling, seeding, planting, fertilizing and turfing to surfaces shall each be given separately in planting and turfing square metres stating the thickness of soil and the quantity per square metre of the seed, plants or fertilizer.",clause
D,Excavation And Earthwork,Disposal of water,,,Disposal of water,subsection
D,Excavation And Earthwork,Disposal of water,,,Disposal of water,subsection
D,Excavation And Earthwork,Disposal of water,D1,,"be given as an item. Alternatively, this item may be given in the description of excavation. (b) Keeping excavations free from spring or running water shall be given as a provisional or prime cost sum as Clause A7 hereof or as a provisional number of actual pumping hours for the different classes of pumps likely to be required. (c) Providing pumps and other equipment, power and attendance for pumping and standing time shall be deemed to be included with the items.",clause
